n,k,policy,success_rate,mean_expansions_all,mean_expansions_success,mean_expansions_failure,mean_seconds
3,3,expert_wide_small,1.0,6.2,6.2,,0.00016081001376733184
3,3,expert_wide_large,1.0,6.2,6.2,,0.00016799001023173332
3,3,expert_tall_small,1.0,5.9,5.9,,0.0001536100055091083
3,3,expert_tall_large,1.0,6.7,6.7,,0.00017333996947854757
3,3,expert_balanced_small,1.0,6.6,6.6,,0.00016652997583150865
3,3,expert_balanced_large,1.0,4.1,4.1,,0.00011613998794928193
3,3,moe_sparse_top1,1.0,4.1,4.1,,0.0009746399824507535
3,3,moe_top2,1.0,4.4,4.4,,0.0011020200094208122
3,3,moe_top3,1.0,4.0,4.0,,0.001083189994096756
3,3,moe_all,1.0,4.8,4.8,,0.0015652299858629703
3,4,expert_wide_small,1.0,9.1,9.1,,0.00029508998850360515
3,4,expert_wide_large,1.0,9.2,9.2,,0.0002882300177589059
3,4,expert_tall_small,1.0,6.8,6.8,,0.00022669999161735178
3,4,expert_tall_large,1.0,8.7,8.7,,0.0003338599926792085
3,4,expert_balanced_small,1.0,8.6,8.6,,0.00027483000885695217
3,4,expert_balanced_large,1.0,5.5,5.5,,0.0001859599957242608
3,4,moe_sparse_top1,1.0,5.5,5.5,,0.001628910005092621
3,4,moe_top2,1.0,5.8,5.8,,0.0017974900198169052
3,4,moe_top3,1.0,5.5,5.5,,0.0023695899872109294
3,4,moe_all,1.0,6.3,6.3,,0.0024998500011861324
3,5,expert_wide_small,1.0,11.5,11.5,,0.000382280012127012
3,5,expert_wide_large,1.0,11.9,11.9,,0.0003654800006188452
3,5,expert_tall_small,1.0,7.6,7.6,,0.00026367997052147987
3,5,expert_tall_large,1.0,8.0,8.0,,0.00025981999933719633
3,5,expert_balanced_small,1.0,9.3,9.3,,0.0002849200158379972
3,5,expert_balanced_large,1.0,6.5,6.5,,0.0002038300037384033
3,5,moe_sparse_top1,1.0,7.6,7.6,,0.002210039971396327
3,5,moe_top2,1.0,7.6,7.6,,0.0023715499904938043
3,5,moe_top3,1.0,8.2,8.2,,0.0031153200077824296
3,5,moe_all,1.0,8.5,8.5,,0.003675420011859387
3,6,expert_wide_small,1.0,10.1,10.1,,0.0002828299766406417
3,6,expert_wide_large,1.0,12.2,12.2,,0.0003448899951763451
3,6,expert_tall_small,1.0,8.1,8.1,,0.00025714000221341846
3,6,expert_tall_large,1.0,11.2,11.2,,0.0003205500077456236
3,6,expert_balanced_small,1.0,9.7,9.7,,0.00025737001560628415
3,6,expert_balanced_large,1.0,7.4,7.4,,0.0002049399889074266
3,6,moe_sparse_top1,1.0,8.1,8.1,,0.002125169988721609
3,6,moe_top2,1.0,8.1,8.1,,0.00218285002047196
3,6,moe_top3,1.0,8.5,8.5,,0.002538140001706779
3,6,moe_all,1.0,8.7,8.7,,0.0030889800284057854
3,7,expert_wide_small,1.0,11.9,11.9,,0.00029308999655768274
3,7,expert_wide_large,1.0,12.3,12.3,,0.0003191699972376227
3,7,expert_tall_small,1.0,8.2,8.2,,0.0002138399868272245
