policy,success_mean,expansions_success,seconds
oracle_best_expert,0.9381944444444444,12.848319003527337,0.00035317034691817955
expert_balanced_large,0.9215277777777777,12.657564484126985,0.00034549131984628424
expert_balanced_small,0.9187500000000001,13.58226135361552,0.0003781973606641663
moe_top2,0.9104166666666667,13.46346726190476,0.0035994436816609876
moe_sparse_top1,0.9083333333333334,13.566647376543209,0.0033763945136646117
moe_top3,0.8902777777777777,13.960841049382715,0.004064625068066461
moe_all,0.8291666666666667,14.896870109546164,0.005159367499517328
expert_tall_small,0.6618055555555555,17.159514790764792,0.0004856251375005943
expert_wide_small,0.625,18.21969671201814,0.0005391148611023608
expert_wide_large,0.5701388888888889,17.988801353874884,0.0005278310422403996
expert_tall_large,0.5381944444444444,17.759831426110498,0.0005462245155488037
